name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2020kvg 221.42829073838152 42.43994330297522 221.4280858 42.4399634 221.4280910 42.4400670 0.5493773 True 0.6927436 True 0.3732927 True
2020kvl 193.36116611491923 -2.4458693957188076 193.3610227 -2.4454653 193.3610021 -2.4454343 1.5434662 True 1.6739557 True 0.1341897 True
2020kxp 149.54792706139463 7.526426157332391 149.5483749 7.5238857 149.5483776 7.5239061 9.2842018 False 9.2135831 False 0.0740493 True
2020kxr 197.76444733387734 -3.9753787658877346 197.7643202 -3.9753538 197.7643306 -3.9753663 0.4651944 True 0.4217643 True 0.0582776 True
2020kxv 248.144562851349 31.9550346365233 248.1465757 31.9543387 248.1445292 31.9552055 6.6389651 False 0.6236335 True 6.9864617 False
2020kyb 213.59190193250618 -5.601679790734826 213.5918755 -5.6016733 213.5918745 -5.6016721 0.0974122 True 0.1019708 True 0.0055499 True
2020kzb 155.904372021077 -4.8543602729934205 155.9037683 -4.8539454 155.9037917 -4.8539167 2.6307018 False 2.6237696 False 0.1332384 True
2020kzv 153.86381686944455 2.9503668971392334 153.8635926 2.9505171 153.8636088 2.9505056 0.9708489 True 0.8993212 True 0.0715595 True
2020kzy 237.9576809417552 28.941415701112668 237.9579027 28.9416572 237.9579076 28.9416325 1.1154325 True 1.0576977 True 0.0903684 True
2020lac 227.49925309317774 -0.5369827039655161 227.4997335 -0.5363207 227.4997112 -0.5363206 2.9446157 False 2.8984261 False 0.0803780 True
2020lad 174.69847063626312 12.453683252406284 174.6997987 12.4551776 174.6982557 12.4524862 7.1229109 False 4.3750714 False 11.1039121 False
2020lbf 310.934444951888 -1.23808887886194 310.9334253 -1.2387417 310.9307917 -1.2388900 4.3580028 False 13.4612128 False 9.4936913 False
2020lbh 205.854219603615 35.1841014589918 205.8546951 35.1839200 205.8545236 35.1839020 1.5441142 True 1.1471073 True 0.5087744 True
2020lbi 161.185904166667 -2.03763055555556 161.1858537 -2.0376932 -99.0000000 -99.0000000 0.2894868 True -99.0000000 False -99.0000000 False
2020ldd 194.3730810606218 2.4842762105821192 194.3710307 2.4866609 194.3727984 2.4840339 11.3172813 False 1.3395668 True 11.3956436 False
2020lev 189.7895457963839 -5.388393493688393 189.7895128 -5.3883365 189.7895391 -5.3883322 0.2370029 True 0.2218154 True 0.0955958 True
2020lew 203.21048602513235 32.53988081733454 203.2104680 32.5397878 203.1988750 32.5255300 0.3393981 True 62.5377072 False 62.2303669 False
2020lex 231.10545785367822 9.115303696924377 231.1055777 9.1156859 231.1055348 9.1156277 1.4402918 True 1.1981089 True 0.2590013 True
2020ley 194.22945827000748 2.347463569039641 194.2294429 2.3476949 194.2294492 2.3476896 0.8347228 True 0.8144628 True 0.0294464 True
2020lez 235.417635300329 12.7792174061189 -99.0000000 -99.0000000 -99.0000000 -99.0000000 -99.0000000 False -99.0000000 False -99.0000000 False
2020lfi 315.370779561951 -0.285389857148366 315.3711449 -0.2842427 315.3715000 -0.2847200 4.3341201 False 3.5414317 False 2.1414814 False
